architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
lstm,128,3,98.5093619342,97.0187238684,382438,1.20805607633
lstm,16,2,73.5866206144,47.1732412289,15622,1.70056787163
lstm,64,2,96.1279767315,92.255953463,79462,1.30864864116
rnn,16,3,68.3693873841,36.7387747682,13788,1.81251985436
lstm,32,1,80.6398836575,61.279767315,26060,1.60044496914
lstm,32,3,91.2015997091,82.4031994183,42828,1.42851230949
rnn,32,2,76.822395928,53.644791856,18892,1.6647814619
lstm,64,1,91.1652426831,82.3304853663,51212,1.43718882922
rnn,128,1,89.5837120524,79.1674241047,44646,1.45473994241
rnn,16,1,63.4248318488,26.8496636975,9590,1.96633501159
rnn,128,3,94.1283403018,88.2566806035,110950,1.29183897701
rnn,64,2,88.3293946555,76.658789311,34828,1.48522106779
lstm,128,2,97.2732230504,94.5464461007,250598,1.21654945317
lstm,16,3,77.3313942919,54.6627885839,20844,1.6119454864
lstm,32,2,89.1656062534,78.3312125068,30758,1.49448474091
rnn,32,1,70.6780585348,41.3561170696,13062,1.80570938623
lstm,16,1,68.2239592801,36.4479185603,13478,1.80515129849
lstm,64,3,97.1277949464,94.2555898927,117516,1.25478868882
rnn,16,2,65.3699327395,30.739865479,13228,1.86495938004
rnn,32,3,80.6035266315,61.207053263,21036,1.612474589
rnn,64,1,80.5308125795,61.0616251591,21542,1.61508847876
rnn,128,2,94.0374477368,88.0748954736,85132,1.35061607546
lstm,128,1,95.8734775495,91.7469550991,118758,1.30515307365
rnn,64,3,91.1107071442,82.2214142883,43212,1.42183020539
