architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
lstm,128,3,96.8551172514,93.7102345028,382438,1.20805607633
lstm,16,2,71.9323759316,43.8647518633,15622,1.70056787163
lstm,64,2,92.9649154699,85.9298309398,79462,1.30864864116
rnn,16,3,65.2426831485,30.485366297,10710,1.83006217751
lstm,32,1,76.876931467,53.753862934,22374,1.62217987764
lstm,32,3,84.548263952,69.096527904,39142,1.42982336023
rnn,32,2,74.7864024723,49.5728049446,15206,1.67322596642
lstm,64,1,87.3659334666,74.7318669333,46310,1.44237054988
rnn,128,1,88.1476095255,76.2952190511,44646,1.45473994241
rnn,16,1,61.516087984,23.032175968,9590,1.96633501159
rnn,128,3,94.6009816397,89.2019632794,110950,1.29183897701
rnn,64,2,85.3117614979,70.6235229958,29926,1.48517198846
lstm,128,2,96.7642246864,93.5284493728,250598,1.21654945317
lstm,16,3,74.9500090893,49.9000181785,17766,1.64759509162
lstm,32,2,84.748227595,69.49645519,30758,1.49448474091
rnn,32,1,67.9876386112,35.9752772223,13062,1.80570938623
lstm,16,1,67.5331757862,35.0663515724,13478,1.80515129849
lstm,64,3,94.3283039447,88.6566078895,112614,1.27584395078
rnn,16,2,64.5155426286,29.0310852572,10150,1.87458793126
rnn,32,3,78.5857116888,57.1714233776,17350,1.61585121462
rnn,64,1,77.7131430649,55.4262861298,21542,1.61508847876
rnn,128,2,92.310489002,84.620978004,77798,1.33817118465
lstm,128,1,92.8376658789,85.6753317579,118758,1.30515307365
rnn,64,3,90.8562079622,81.7124159244,38310,1.41691553534
