architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
rnn,64,2,77.040538084,54.081076168,25927,1.73385667801
lstm,128,2,88.6202508635,77.240501727,244615,1.53831591606
rnn,32,1,64.8427558626,29.6855117251,10055,1.93728239536
rnn,16,2,61.0252681331,22.0505362661,7639,2.01933867931
rnn,128,1,79.5491728777,59.0983457553,38663,1.68492486477
lstm,64,1,78.5493546628,57.0987093256,42311,1.70637652278
rnn,128,2,85.1299763679,70.2599527359,71815,1.61567844152
lstm,128,2,87.2386838757,74.4773677513,244615,1.56710718274
lstm,16,3,64.8609343756,29.7218687511,15255,1.89420893788
lstm,128,2,89.7836756953,79.5673513907,244615,1.5212444067
rnn,32,1,64.6064351936,29.2128703872,10055,1.94403021932
lstm,16,2,64.1883293947,28.3766587893,13111,1.90260267258
lstm,64,1,79.3673877477,58.7347754954,42311,1.69917581081
rnn,16,2,59.4800945283,18.9601890565,7639,2.03056589365
lstm,64,2,83.2575895292,66.5151790584,75463,1.62469650507
rnn,128,3,86.5297218688,73.0594437375,104967,1.61700407863
rnn,64,1,72.6595164516,45.3190329031,17543,1.80150791407
rnn,128,2,85.1845119069,70.3690238139,71815,1.6054438591
lstm,32,3,76.804217415,53.60843483,36135,1.72711431384
rnn,64,2,78.8765678967,57.7531357935,25927,1.74077872038
lstm,128,2,87.9476458826,75.8952917651,244615,1.52232736349
rnn,32,1,65.0972550445,30.1945100891,10055,1.93771135211
rnn,32,2,68.5693510271,37.1387020542,12199,1.8678280592
lstm,64,3,84.584620978,69.169241956,108615,1.58319782615
rnn,128,1,81.0034539175,62.0069078349,38663,1.67261763215
lstm,16,2,65.0608980185,30.1217960371,13111,1.91012755632
lstm,32,1,69.7691328849,39.5382657699,19367,1.82867976427
rnn,16,3,59.9527358662,19.9054717324,8199,2.01805737615
lstm,16,3,64.1156153427,28.2312306853,15255,1.89630034566
lstm,128,1,84.639156517,69.278313034,112775,1.58899470568
rnn,32,1,65.3335757135,30.667151427,10055,1.93623560071
lstm,16,2,63.7520450827,27.5040901654,13111,1.90248026252
lstm,32,2,75.4044719142,50.8089438284,27751,1.76065383554
rnn,16,2,59.5528085803,19.1056171605,7639,2.02823790908
lstm,16,1,63.6066169787,27.2132339575,10967,1.96236133575
lstm,64,2,81.8760225414,63.7520450827,75463,1.62449362874
rnn,32,3,71.2052354117,42.4104708235,14343,1.83937126398
rnn,128,1,79.8218505726,59.6437011452,38663,1.68903943896
