architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
rnn,64,2,72.7708609272,45.5417218543,34828,1.48405440031
lstm,128,2,92.2490066225,84.498013245,257932,1.19437440404
rnn,32,1,61.038410596,22.0768211921,16748,1.78934433533
lstm,64,2,83.9814569536,67.9629139073,84364,1.30125706288
rnn,128,1,76.2966887417,52.5933774834,51980,1.45737828566
rnn,16,2,58.9695364238,17.9390728477,13228,1.86125221308
rnn,128,1,75.0728476821,50.1456953642,51980,1.4610406453
lstm,64,1,76.9456953642,53.8913907285,51212,1.43590419127
rnn,128,2,82.357615894,64.7152317881,85132,1.35107116927
lstm,128,3,93.0463576159,86.0927152318,389772,1.17043606079
lstm,16,3,67.1417218543,34.2834437086,20844,1.61320663665
lstm,128,3,92.7496688742,85.4993377483,389772,1.21548152849
rnn,32,1,61.101986755,22.2039735099,16748,1.79231097835
lstm,16,2,64.2516556291,28.5033112583,18700,1.66716443525
lstm,64,1,78.1006622517,56.2013245033,51212,1.43601572408
rnn,16,2,57.5655629139,15.1311258278,13228,1.86701810102
lstm,64,2,85.5708609272,71.1417218543,84364,1.30637056928
rnn,128,3,82.2331125828,64.4662251656,118284,1.35587628276
rnn,64,1,67.7218543046,35.4437086093,26444,1.6143223032
rnn,128,2,82.6410596026,65.2821192053,85132,1.3513132495
lstm,32,3,79.0966887417,58.1933774834,42828,1.41841360488
rnn,64,2,73.8410596026,47.6821192053,34828,1.48522106779
lstm,128,2,90.5033112583,81.0066225166,257932,1.1920763019
rnn,32,1,61.4119205298,22.8238410596,16748,1.78602579369
lstm,16,2,64.9986754967,29.9973509934,18700,1.66819556124
lstm,16,1,60.6754966887,21.3509933775,16556,1.78292711081
rnn,32,2,65.3960264901,30.7920529801,18892,1.67043553194
rnn,16,2,57.3006622517,14.6013245033,13228,1.87025863246
lstm,64,3,88.1986754967,76.3973509934,117516,1.26009578131
rnn,128,1,75.7271523179,51.4543046358,51980,1.4575694016
unigram,NA,NA,49.6119386727,-0.776122654612,136,4.84045391734
rnn,32,3,66.6675496689,33.3350993377,21036,1.61320096439
lstm,32,1,67.9099337748,35.8198675497,26060,1.60467682117
rnn,16,3,58.9377483444,17.8754966887,13788,1.81536082171
rnn,128,3,86.6304635762,73.2609271523,118284,1.31164303567
lstm,16,3,67.4834437086,34.9668874172,20844,1.61862766344
rnn,64,3,77.0092715232,54.0185430464,43212,1.41803074071
lstm,128,1,85.1364238411,70.2728476821,126092,1.30037532232
rnn,32,1,61.8410596026,23.6821192053,16748,1.79159106747
lstm,16,2,65.0304635762,30.0609271523,18700,1.66807391312
lstm,32,2,76.098013245,52.1960264901,34444,1.47569642182
rnn,16,2,57.5152317881,15.0304635762,13228,1.86411314232
lstm,16,1,61.1258278146,22.2516556291,16556,1.76909846264
lstm,64,2,85.4198675497,70.8397350993,84364,1.29453097783
rnn,32,3,68.3470198675,36.6940397351,21036,1.61291770711
rnn,128,1,75.3509933775,50.701986755,51980,1.46023354235
rnn,64,1,67.4781456954,34.9562913907,26444,1.61823304991
rnn,64,3,78.5218543046,57.0437086093,43212,1.41851557445
rnn,16,3,58.8105960265,17.621192053,13788,1.81219294197
rnn,16,1,56.119205298,12.238410596,12668,1.94973099877
rnn,128,2,83.2821192053,66.5642384106,85132,1.34923879683
lstm,32,2,74.1245033113,48.2490066225,34444,1.48549888595
lstm,128,1,84.940397351,69.880794702,126092,1.28755777673
rnn,32,1,60.4662251656,20.9324503311,16748,1.79323390905
lstm,16,3,64.7655629139,29.5311258278,20844,1.61484114202
rnn,64,3,77.6397350993,55.2794701987,43212,1.43283059846
lstm,64,1,76.7337748344,53.4675496689,51212,1.43718882922
rnn,32,2,65.0993377483,30.1986754967,18892,1.6647814619
lstm,32,1,67.7880794702,35.5761589404,26060,1.60221782073
rnn,16,1,55.5125827815,11.0251655629,12668,1.9491831528
rnn,128,3,86.3311258278,72.6622516556,118284,1.29144783578
rnn,64,1,67.7721854305,35.5443708609,26444,1.6213725294
lstm,128,1,85.9920529801,71.9841059603,126092,1.29750006772
lstm,32,2,75.2662251656,50.5324503311,34444,1.48328248028
rnn,64,2,74.1562913907,48.3125827815,34828,1.48124204665
lstm,32,2,74.9350993377,49.8701986755,34444,1.47570724612
lstm,16,1,60.6966887417,21.3933774834,16556,1.77976372526
rnn,32,3,67.7377483444,35.4754966887,21036,1.612474589
lstm,64,3,86.9059602649,73.8119205298,117516,1.26381307609
rnn,16,1,56.2251655629,12.4503311258,12668,1.95488265331
lstm,32,1,68.6410596026,37.2821192053,26060,1.59714621039
lstm,128,1,84.3920529801,68.7841059603,126092,1.29340430826
lstm,128,2,92.3443708609,84.6887417219,257932,1.19485128436
lstm,16,3,65.9470198675,31.8940397351,20844,1.61227886101
rnn,64,3,77.7483443709,55.4966887417,43212,1.42183020539
lstm,32,3,77.2900662252,54.5801324503,42828,1.41938342106
lstm,16,2,63.3668874172,26.7337748344,18700,1.6675863996
lstm,64,1,74.9324503311,49.8649006623,51212,1.43234901615
rnn,32,3,68.3496688742,36.6993377483,21036,1.60178736314
lstm,64,2,84.7947019868,69.5894039735,84364,1.30129385856
rnn,16,3,59.8490066225,19.698013245,13788,1.81251985436
rnn,16,1,55.8490066225,11.698013245,12668,1.96626537859
rnn,128,3,84.4344370861,68.8688741722,118284,1.31651242525
rnn,64,1,68.2701986755,36.540397351,26444,1.61901394651
lstm,128,1,86.5721854305,73.1443708609,126092,1.27789410639
rnn,128,2,81.0516556291,62.1033112583,85132,1.35124968427
lstm,128,2,92.3735099338,84.7470198675,257932,1.24489044914
lstm,32,3,77.8993377483,55.7986754967,42828,1.41787077902
rnn,64,2,73.4357615894,46.8715231788,34828,1.48874039217
lstm,64,2,85.5258278146,71.0516556291,84364,1.29797551571
lstm,128,3,94.1430463576,88.2860927152,389772,1.16737660134
rnn,32,2,65.2556291391,30.5112582781,18892,1.67485904752
lstm,64,3,87.5125827815,75.0251655629,117516,1.25449512219
lstm,64,1,76.7947019868,53.5894039735,51212,1.43007908
rnn,16,3,59.3695364238,18.7390728477,13788,1.82542194443
rnn,16,1,56.7761589404,13.5523178808,12668,1.9580843366
rnn,128,2,82.2490066225,64.498013245,85132,1.35255431519
lstm,128,1,85.4225165563,70.8450331126,126092,1.29431315748
rnn,32,2,65.038410596,30.0768211921,18892,1.66789443946
lstm,16,3,68.5721854305,37.1443708609,20844,1.61004187236
rnn,128,1,75.7350993377,51.4701986755,51980,1.45935223692
lstm,16,2,65.5231788079,31.0463576159,18700,1.67094732644
lstm,128,3,92.0476821192,84.0953642384,389772,1.16278394202
rnn,32,2,65.8066225166,31.6132450331,18892,1.67486284557
lstm,16,1,59.9549668874,19.9099337748,16556,1.78400625305
rnn,32,2,65.0198675497,30.0397350993,18892,1.67217574358
lstm,64,2,83.4993377483,66.9986754967,84364,1.29919243533
rnn,16,3,59.8490066225,19.698013245,13788,1.81215237176
rnn,16,1,56.301986755,12.6039735099,12668,1.96819539376
rnn,128,1,75.7695364238,51.5390728477,51980,1.46049364306
rnn,64,1,67.8701986755,35.740397351,26444,1.62015968892
rnn,128,2,82.2701986755,64.540397351,85132,1.35061607546
lstm,32,3,77.3748344371,54.7496688742,42828,1.40553351746
rnn,64,2,74.5986754967,49.1973509934,34828,1.48919408379
lstm,16,1,60.3099337748,20.6198675497,16556,1.77347412809
bigram,NA,NA,52.1009776422,4.20195528444,18496,3.96216487796
lstm,64,3,87.9364238411,75.8728476821,117516,1.25478868882
lstm,128,3,92.9483443709,85.8966887417,389772,1.17046948753
rnn,32,3,67.5284768212,35.0569536424,21036,1.60876661325
lstm,64,3,85.7112582781,71.4225165563,117516,1.25664371613
lstm,16,2,64.4105960265,28.821192053,18700,1.67616007408
rnn,16,3,57.8543046358,15.7086092715,13788,1.82418399061
lstm,32,1,68.1112582781,36.2225165563,26060,1.60044496914
rnn,128,3,84.9430463576,69.8860927152,118284,1.31446034739
rnn,64,3,77.4119205298,54.8238410596,43212,1.4306690293
lstm,32,2,75.2874172185,50.5748344371,34444,1.47457317173
rnn,64,2,74.0105960265,48.021192053,34828,1.48758999309
lstm,128,2,91.501986755,83.0039735099,257932,1.20822831104
rnn,32,3,67.6529801325,35.3059602649,21036,1.61255243712
lstm,16,1,60.9139072848,21.8278145695,16556,1.7772207093
rnn,16,2,57.4543046358,14.9086092715,13228,1.87022039225
lstm,64,3,87.5046357616,75.0092715232,117516,1.25720816988
lstm,32,1,68.2278145695,36.4556291391,26060,1.59693337912
lstm,32,3,78.0026490066,56.0052980132,42828,1.42851230949
lstm,16,3,65.7854304636,31.5708609272,20844,1.6119454864
rnn,64,3,77.7774834437,55.5549668874,43212,1.43298957891
lstm,128,2,91.8278145695,83.6556291391,257932,1.20616383413
rnn,32,1,61.3907284768,22.7814569536,16748,1.78782905168
lstm,64,1,77.3642384106,54.7284768212,51212,1.43674836303
rnn,16,2,57.6079470199,15.2158940397,13228,1.86495938004
lstm,32,1,68.4821192053,36.9642384106,26060,1.60651585766
rnn,128,3,81.9364238411,63.8728476821,118284,1.35603176639
lstm,128,3,92.8503311258,85.7006622517,389772,1.21251489245
rnn,64,1,67.8278145695,35.6556291391,26444,1.61520974934
lstm,32,2,75.4198675497,50.8397350993,34444,1.47976794943
lstm,32,3,79.2476821192,58.4953642384,42828,1.41891007176
