architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
rnn,64,2,79.8750506161,59.7501012321,29926,1.47297632812
lstm,128,2,92.3873430902,84.7746861804,250598,1.21896608218
rnn,32,1,63.556429687,27.1128593741,13062,1.79322464749
rnn,16,2,59.3336032857,18.6672065714,10150,1.88156049676
rnn,128,1,79.4585526696,58.9171053393,44646,1.45158408538
lstm,64,1,80.0775148956,60.1550297912,46310,1.45023821309
rnn,128,2,86.886099381,73.7721987621,77798,1.33086867085
lstm,128,2,93.1277838838,86.2555677677,250598,1.22102650026
lstm,16,3,67.1024469254,34.2048938509,17766,1.64860580522
lstm,128,2,92.8269798114,85.6539596228,250598,1.2222225548
rnn,32,1,63.6027072367,27.2054144733,13062,1.79234875016
lstm,16,2,65.7372592121,31.4745184242,15622,1.69837981817
lstm,64,1,79.9039740846,59.8079481691,46310,1.44699829109
rnn,16,2,58.8476890149,17.6953780297,10150,1.88528068821
lstm,64,2,86.9150228495,73.8300456991,79462,1.32549140831
rnn,128,3,89.2867472667,78.5734945335,110950,1.29183897701
rnn,64,1,70.1567651993,40.3135303986,21542,1.61644123037
rnn,128,2,87.100133048,74.2002660959,77798,1.32999900131
lstm,32,3,80.4419505987,60.8839011974,39142,1.44097501748
rnn,64,2,77.9545323075,55.909064615,29926,1.48517198846
lstm,128,2,92.7055012437,85.4110024874,250598,1.21654945317
rnn,32,1,63.2903337768,26.5806675537,13062,1.79743178587
rnn,32,2,68.3288019899,36.6576039799,15206,1.67545449321
lstm,64,3,88.471105455,76.9422109099,112614,1.26763883676
rnn,128,1,80.7138312026,61.4276624053,44646,1.44436278851
lstm,16,2,66.743795916,33.487591832,15622,1.70511240888
lstm,32,1,69.8270376584,39.6540753167,22374,1.63097474127
rnn,16,3,59.6691155203,19.3382310407,10710,1.85188876815
lstm,16,3,67.9180887372,35.8361774744,17766,1.65796274714
lstm,128,1,86.9728697865,73.9457395731,118758,1.30515307365
rnn,32,1,63.9208653902,27.8417307804,13062,1.80666814228
lstm,16,2,65.2108520854,30.4217041708,15622,1.70587200635
lstm,32,2,76.7108231619,53.4216463238,30758,1.49819653223
rnn,16,2,60.3979869266,20.7959738532,10150,1.87652643718
lstm,16,1,61.9425001446,23.8850002892,13478,1.80305744988
lstm,64,2,86.828252444,73.6565048881,79462,1.30864864116
rnn,32,3,71.1343784347,42.2687568693,17350,1.61028851731
rnn,128,1,80.2857638688,60.5715277376,44646,1.45264025195
rnn,64,1,70.9955457859,41.9910915717,21542,1.61526928562
rnn,16,1,58.1361716897,16.2723433794,9590,1.96274488279
rnn,128,2,85.9779024701,71.9558049401,77798,1.32821711868
lstm,32,3,77.925608839,55.851217678,39142,1.42982336023
lstm,128,1,88.7892636085,77.578527217,118758,1.30538949813
lstm,16,3,67.8660264939,35.7320529878,17766,1.65791127351
rnn,64,3,83.6119627466,67.2239254931,38310,1.42115567049
lstm,64,1,79.799849598,59.5996991959,46310,1.44237054988
rnn,32,3,71.8343263724,43.6686527448,17350,1.62297317356
lstm,32,1,70.8509284433,41.7018568867,22374,1.61997890472
rnn,128,3,90.9700931336,81.9401862671,110950,1.29452259352
rnn,64,1,71.359981489,42.719962978,21542,1.61668615235
lstm,128,1,88.413258518,76.8265170359,118758,1.29044050568
lstm,32,2,77.3934170186,54.7868340371,30758,1.49448474091
lstm,32,2,78.4115231099,56.8230462197,30758,1.49636325447
lstm,16,1,63.3366113264,26.6732226529,13478,1.80515129849
rnn,32,3,71.8343263724,43.6686527448,17350,1.61585121462
rnn,16,1,57.436223752,14.8724475039,9590,1.96272451571
lstm,32,1,70.7352345693,41.4704691387,22374,1.62172708063
lstm,128,1,88.4248279054,76.8496558107,118758,1.29109765456
lstm,128,3,92.3931277839,84.7862555678,382438,1.20973144486
lstm,16,3,69.2196448198,38.4392896396,17766,1.64848849738
rnn,64,3,83.392144386,66.7842887719,38310,1.41691553534
lstm,16,2,65.8298143113,31.6596286227,15622,1.70056787163
lstm,64,1,79.3023659397,58.6047318794,46310,1.4519210446
rnn,32,3,71.5045988315,43.009197663,17350,1.61581794637
lstm,64,2,87.6265401747,75.2530803494,79462,1.32316242704
rnn,16,3,61.2888297565,22.5776595129,10710,1.83006217751
rnn,16,1,58.3097125007,16.6194250014,9590,1.97466404485
rnn,128,3,90.304853358,80.609706716,110950,1.30271985802
rnn,64,1,71.7359865795,43.471973159,21542,1.61871704961
lstm,128,1,87.9967605715,75.9935211431,118758,1.29325257256
rnn,128,2,87.6959564991,75.3919129982,77798,1.33712147309
lstm,32,3,78.0760108752,56.1520217504,39142,1.44100473718
rnn,64,2,77.2256609013,54.4513218025,29926,1.48124763753
lstm,64,2,88.8991727888,77.7983455776,79462,1.32581672338
lstm,128,3,92.3989124776,84.7978249552,382438,1.21439143809
rnn,32,2,67.5594377278,35.1188754555,15206,1.69550157006
rnn,128,1,80.3262567247,60.6525134494,44646,1.45473994241
rnn,32,2,67.8891652687,35.7783305374,15206,1.67806115717
rnn,16,3,61.3929542431,22.7859084861,10710,1.83167709454
rnn,16,1,58.3270665818,16.6541331636,9590,1.96633501159
rnn,128,1,80.6328454908,61.2656909817,44646,1.45878218719
lstm,64,3,87.9562677156,75.9125354312,112614,1.2771038478
lstm,16,2,66.5818244924,33.1636489848,15622,1.70189866335
lstm,128,3,93.4170185689,86.8340371377,382438,1.20639655673
rnn,32,2,68.0511366923,36.1022733846,15206,1.67579586789
lstm,16,1,63.2556256146,26.5112512292,13478,1.79926959477
lstm,64,2,86.4001851102,72.8003702204,79462,1.31471884546
rnn,16,3,59.1774165558,18.3548331116,10710,1.83400592119
rnn,16,1,57.6907502748,15.3815005495,9590,1.96242207289
rnn,128,2,85.4225718748,70.8451437496,77798,1.33817118465
lstm,32,3,80.204778157,60.409556314,39142,1.43904318432
rnn,64,2,78.7123271823,57.4246543646,29926,1.48641049744
lstm,16,1,62.4226297218,24.8452594435,13478,1.80501929486
rnn,64,3,82.6921964482,65.3843928964,38310,1.42384523212
lstm,64,3,89.1941921675,78.388384335,112614,1.27584395078
lstm,128,3,93.0063053161,86.0126106323,382438,1.20805607633
rnn,32,3,72.5979059409,45.1958118818,17350,1.61087916629
lstm,64,3,89.6801064384,79.3602128767,112614,1.2746670193
rnn,16,3,61.103719558,22.2074391161,10710,1.82049214958
lstm,32,1,70.8046508937,41.6093017875,22374,1.62217987764
rnn,128,3,89.1999768612,78.3999537225,110950,1.3104532243
rnn,64,3,82.0674495285,64.1348990571,38310,1.42274925083
lstm,32,2,77.6190200729,55.2380401458,30758,1.49192991941
rnn,64,2,77.1041823335,54.2083646671,29926,1.47508034789
lstm,128,3,92.4856828831,84.9713657662,382438,1.21060755878
rnn,32,2,69.2659223694,38.5318447388,15206,1.67322596642
lstm,16,1,62.4978307399,24.9956614797,13478,1.79959889568
rnn,16,2,59.7443165384,19.4886330769,10150,1.88535827929
lstm,64,3,90.0503268352,80.1006536704,112614,1.2694661995
lstm,16,3,68.4734193324,36.9468386649,17766,1.64759509162
rnn,64,3,82.7442586915,65.488517383,38310,1.42594135339
lstm,128,2,93.1219991901,86.2439983803,250598,1.21662153938
rnn,32,1,62.7002950194,25.4005900388,13062,1.80570938623
lstm,64,1,79.3717822641,58.7435645283,46310,1.44862185964
rnn,16,2,60.2880777463,20.5761554926,10150,1.87458793126
lstm,32,1,70.0931335686,40.1862671372,22374,1.63427730126
rnn,128,3,89.1536993116,78.3073986232,110950,1.29354489204
rnn,64,1,71.3715508764,42.7431017528,21542,1.61508847876
lstm,32,3,79.3717822641,58.7435645283,39142,1.43489475829
lstm,32,2,76.8843639729,53.7687279459,30758,1.49603534453
