architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
bigram,NA,NA,51.2658227848,2.53164556962,4900,3.29871049888
lstm,128,3,66.8207123939,33.6414247878,376455,1.53240121007
lstm,16,2,56.4239770823,12.8479541646,13111,1.9115912497
lstm,64,2,63.0965893735,26.1931787471,75463,1.62449362874
rnn,16,3,53.8835738609,7.76714772174,8199,2.00344347954
lstm,32,1,59.6021836657,19.2043673315,19367,1.82296762466
lstm,32,3,59.8643316577,19.7286633155,36135,1.72563484311
rnn,32,2,57.3131182098,14.6262364197,12199,1.87355424762
lstm,64,1,62.2344738122,24.4689476245,42311,1.69727995992
rnn,128,1,62.3560888601,24.7121777201,38663,1.67951485515
rnn,16,1,53.3863034431,6.77260688611,7079,2.08118860722
rnn,128,3,64.8073077131,29.6146154262,104967,1.61700407863
rnn,64,2,61.4074914869,22.8149829739,25927,1.74077872038
lstm,128,2,65.9072482569,31.8144965137,244615,1.52232736349
lstm,16,3,56.3158748176,12.6317496352,15255,1.89242532849
lstm,32,2,60.1994486784,20.3988973569,27751,1.74893547893
rnn,32,1,56.1456137506,12.2912275012,10055,1.94383407831
lstm,16,1,55.1240473488,10.2480946976,10967,1.96790280938
lstm,64,3,63.9478947084,27.8957894168,108615,1.57899807692
unigram,NA,NA,50.0,0.0,70,4.18522440015
rnn,16,2,53.3673855467,6.73477109345,7639,2.02884274125
rnn,32,3,57.2536619642,14.5073239284,14343,1.84930500984
rnn,64,1,59.5454299768,19.0908599535,17543,1.79696766734
rnn,128,2,64.4100318902,28.8200637803,71815,1.60443058014
lstm,128,1,64.9775687801,29.9551375601,112775,1.58899470568
rnn,64,3,62.4641911248,24.9283822496,34311,1.69026025534
