architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
bigram,NA,NA,51.5341078344,3.06821566875,9801,3.58171483636
lstm,128,3,76.7131979695,53.4263959391,382438,1.20805607633
lstm,16,2,58.1297588832,16.2595177665,15622,1.70056787163
lstm,64,2,70.9113261421,41.8226522843,79462,1.30864864116
rnn,16,3,55.9010152284,11.8020304569,10710,1.83006217751
lstm,32,1,61.032677665,22.0653553299,22374,1.62217987764
lstm,32,3,65.2720494924,30.5440989848,39142,1.42982336023
rnn,32,2,60.5329949239,21.0659898477,15206,1.67322596642
lstm,64,1,66.5291878173,33.0583756345,46310,1.44237054988
rnn,128,1,66.1564086294,32.3128172589,44646,1.45473994241
rnn,16,1,53.4065672589,6.81313451777,9590,1.96633501159
rnn,128,3,72.6126269036,45.2252538071,110950,1.29183897701
rnn,64,2,64.8318527919,29.6637055838,29926,1.48517198846
lstm,128,2,75.3331218274,50.6662436548,250598,1.21654945317
lstm,16,3,59.7596763959,19.5193527919,17766,1.64759509162
lstm,32,2,65.7162119289,31.4324238579,30758,1.49448474091
rnn,32,1,56.9717639594,13.9435279188,13062,1.80570938623
lstm,16,1,56.4403553299,12.8807106599,13478,1.80515129849
lstm,64,3,73.5247461929,47.0494923858,112614,1.27584395078
unigram,NA,NA,48.5552576705,-2.88948465892,99,4.52581705682
rnn,16,2,55.0007931472,10.0015862944,10150,1.87458793126
rnn,32,3,61.5085659898,23.0171319797,17350,1.61585121462
rnn,64,1,61.1000951777,22.2001903553,21542,1.61508847876
rnn,128,2,70.1578362944,40.3156725888,77798,1.33817118465
lstm,128,1,71.9662119289,43.9324238579,118758,1.30515307365
rnn,64,3,67.9885786802,35.9771573604,38310,1.41691553534
